Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-CD (ms),Desvio BMSSP-CD (ms),Ratio BMSSP-CD / BMSSP
H3random128.gr,128,384,0.127,0.010,0.383,0.013000000000000001,3.015748031496063
H3random256.gr,256,768,0.141,0.008,0.857,0.017,6.078014184397162
H3random512.gr,512,1536,0.246,0.027,1.868,0.067,7.59349593495935
H3random1024.gr,1024,3072,0.464,0.007,3.612,0.048,7.7844827586206895
H3random2048.gr,2048,6144,0.854,0.017,7.803,0.068,9.137002341920375
H3random4096.gr,4096,12288,1.874,0.104,18.062,0.543,9.63820704375667
H3random8192.gr,8192,24576,3.587,0.060,37.423,0.634,10.432952327850572
H3random16384.gr,16384,49152,6.991,0.174,90.0,1.68,12.873694750393362
H3random32768.gr,32768,98304,15.879,0.284,219.447,0.8240000000000001,13.8199508785188
H3random65536.gr,65536,196608,34.660,0.649,543.691,1.537,15.686410848240046
H3random131072.gr,131072,393216,83.406,0.295,1286.57,3.205,15.425389060739034
H3random262144.gr,262144,786432,212.024,0.830,2962.262,3.572,13.971352299739653
H3random524288.gr,524288,1572864,569.595,2.129,7186.526,2.7720000000000002,12.616904993899173
H3random1048576.gr,1048576,3145728,1323.220,1.692,16227.203,5.317,12.263420292921811
H3random2097152.gr,2097152,6291456,3042.001,4.565,33300.497,65.09,10.946905342897653
H3random4194304.gr,4194304,12582912,7810.279,8.940,79514.48,101.934,10.18074770440339
H3random8388608.gr,8388608,25165824,15080.451,10.582,183670.725,209.92000000000002,12.179392048686077
