Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-CD (ms),Desvio BMSSP-CD (ms),Ratio BMSSP-CD / BMSSP
USA-road-t.NY.gr,264346,733846,118.030,0.887,489.892,1.289,4.150571888502923
USA-road-t.BAY.gr,321270,800172,139.290,0.969,526.65,0.932,3.7809605858281286
USA-road-t.COL.gr,435666,1057066,209.183,0.704,699.045,1.6440000000000001,3.3417868564845135
USA-road-t.FLA.gr,1070376,2712798,448.717,1.390,1878.65,3.095,4.186714566196512
USA-road-t.NW.gr,1207945,2840208,515.378,0.422,2106.777,5.389,4.087828739294265
USA-road-t.NE.gr,1524453,3897636,695.102,2.504,3279.082,4.081,4.717411257628377
USA-road-t.CAL.gr,1890815,4657742,838.086,9.492,3541.601,6.947,4.225820500521427
USA-road-t.LKS.gr,2758119,6885658,1373.042,3.923,5189.072,9.624,3.7792522005881835
USA-road-t.E.gr,3598623,8778114,2060.846,2.912,7258.218,3.926,3.5219603987876824
USA-road-t.W.gr,6262104,15248146,3936.441,6.345,13240.946,21.567,3.3636846074918942
USA-road-t.CTR.gr,14081816,34292496,12832.646,16.235,45127.778,13.701,3.516638579448073
