Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-Expected (ms),Desvio BMSSP-Expected (ms),Ratio BMSSP-Expected / BMSSP
random128D3.gr,128,384,0.126,0.010,0.156,0.016,1.2380952380952381
random256D3.gr,256,768,0.137,0.009,0.17200000000000001,0.018000000000000002,1.2554744525547445
random512D3.gr,512,1536,0.209,0.009,0.257,0.018000000000000002,1.229665071770335
random1024D3.gr,1024,3072,0.482,0.035,0.5690000000000001,0.06,1.1804979253112036
random2048D3.gr,2048,6144,0.858,0.026,1.117,0.127,1.3018648018648018
random4096D3.gr,4096,12288,1.832,0.105,2.209,0.11800000000000001,1.2057860262008733
random8192D3.gr,8192,24576,3.763,0.041,4.404,0.251,1.1703428115865002
random16384D3.gr,16384,49152,7.561,0.710,8.276,0.355,1.0945642110831901
random32768D3.gr,32768,98304,15.753,0.664,18.21,1.022,1.1559702913730718
random65536D3.gr,65536,196608,35.969,0.775,43.211,1.799,1.201340042814646
random131072D3.gr,131072,393216,82.566,0.246,86.682,2.868,1.0498510282682945
random262144D3.gr,262144,786432,212.536,1.906,233.222,2.404,1.0973293936086121
random524288D3.gr,524288,1572864,561.520,1.166,644.347,7.547000000000001,1.1475049864653084
random1048576D3.gr,1048576,3145728,1296.598,1.835,1515.8120000000001,5.96,1.1690685933496736
random2097152D3.gr,2097152,6291456,2984.520,5.767,3540.69,15.74,1.186351574122472
random4194304D3.gr,4194304,12582912,7622.572,6.736,8842.806,53.925000000000004,1.1600816627248651
random8388608D3.gr,8388608,25165824,14663.760,36.052,17269.09,158.983,1.1776713475943414
random16777216D3.gr,16777216,50331648,32733.411,14.179,37598.046,263.213,1.1486137512525048
random33554432D3.gr,33554432,100663296,80508.480,30.790,93630.58,429.927,1.162990283756444
