Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-Expected (ms),Desvio BMSSP-Expected (ms),Ratio BMSSP-Expected / BMSSP
random8X32RGridED.gr,256,1812,0.145,0.011,0.152,0.011,1.0482758620689656
random16X16SGridED.gr,256,1860,0.185,0.022,0.192,0.015,1.037837837837838
random16X64RGridED.gr,1024,7716,0.503,0.030,0.587,0.036000000000000004,1.1669980119284293
random32X32SGridED.gr,1024,7812,0.613,0.020,0.655,0.024,1.068515497553018
random32X128RGridED.gr,4096,31812,2.068,0.061,2.101,0.028,1.0159574468085106
random64X64SGridED.gr,4096,32004,2.147,0.179,2.322,0.07200000000000001,1.0815090824406146
random64X256RGridED.gr,16384,129156,7.721,0.090,7.863,0.08600000000000001,1.0183914000777101
random128X128SGridED.gr,16384,129540,8.056,0.193,9.342,0.295,1.1596325719960277
random256X256SGridED.gr,65536,521220,34.016,0.149,34.402,0.629,1.0113476011288807
random128X512RGridED.gr,65536,520452,30.490,0.040,31.5,0.16,1.033125614955723
random256X1024RGridED.gr,262144,2089476,142.487,0.467,138.876,0.669,0.9746573371605831
random512X512SGridED.gr,262144,2091012,147.402,0.591,152.038,0.8270000000000001,1.031451405001289
random512X2048RGridED.gr,1048576,8373252,705.404,5.790,673.582,5.969,0.9548882626126305
random1024X1024SGridED.gr,1048576,8376324,707.137,0.533,714.278,4.976,1.010098467482256
random1024X4096RGridED.gr,4194304,33523716,3994.982,9.807,3813.375,9.632,0.9545412219629525
random2048X2048SGridED.gr,4194304,33529860,4142.918,8.399,4028.127,106.912,0.9722922346037263
random2048X8192RGridED.gr,16777216,134156292,16610.146,6.229,14881.508,16.543,0.8959287895482676
random4096X4096SGridED.gr,16777216,134168580,16603.252,3.556,15826.348,44.402,0.9532077209934535
