Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-Expected (ms),Desvio BMSSP-Expected (ms),Ratio BMSSP-Expected / BMSSP
random8X32RGridR.gr,256,1812,0.162,0.011,0.19,0.019,1.1728395061728394
random16X16SGridR.gr,256,1860,0.160,0.012,0.191,0.019,1.19375
random16X64RGridR.gr,1024,7716,0.656,0.021,0.744,0.019,1.1341463414634145
random32X32SGridR.gr,1024,7812,0.565,0.009,0.648,0.021,1.1469026548672565
random32X128RGridR.gr,4096,31812,2.779,0.069,2.958,0.034,1.0644116588700974
random64X64SGridR.gr,4096,32004,2.214,0.033,2.541,0.049,1.1476964769647697
random64X256RGridR.gr,16384,129156,4.436,0.087,4.777,0.066,1.0768710550045086
random128X128SGridR.gr,16384,129540,8.772,0.103,10.102,0.14,1.1516187870497037
random256X256SGridR.gr,65536,521220,36.374,0.291,41.132,0.922,1.130807719799857
random128X512RGridR.gr,65536,520452,18.198,0.128,19.122,0.258,1.0507748104187273
random256X1024RGridR.gr,262144,2089476,87.908,0.357,87.285,0.856,0.9929130454566136
random512X512SGridR.gr,262144,2091012,168.051,0.576,184.662,0.887,1.098844993484121
random512X2048RGridR.gr,1048576,8373252,501.998,0.912,486.12600000000003,0.9440000000000001,0.9683823441527656
random1024X1024SGridR.gr,1048576,8376324,874.745,0.751,940.619,3.971,1.0753065178995023
random1024X4096RGridR.gr,4194304,33523716,3093.881,5.533,2609.418,8.175,0.8434125294411777
random2048X2048SGridR.gr,4194304,33529860,5315.091,3.361,5224.4710000000005,23.936,0.9829504330217489
random2048X8192RGridR.gr,16777216,134156292,14415.241,17.203,12228.41,7.368,0.8482972986715934
random4096X4096SGridR.gr,16777216,134168580,23101.575,86.257,22129.593,91.098,0.9579257258433678
