Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-Expected (ms),Desvio BMSSP-Expected (ms),Ratio BMSSP-Expected / BMSSP
H3random128.gr,128,384,0.129,0.009,0.17,0.022,1.3178294573643412
H3random256.gr,256,768,0.138,0.009,0.17300000000000001,0.017,1.2536231884057971
H3random512.gr,512,1536,0.216,0.009,0.264,0.016,1.2222222222222223
H3random1024.gr,1024,3072,0.479,0.008,0.581,0.033,1.2129436325678495
H3random2048.gr,2048,6144,0.869,0.029,1.08,0.117,1.2428078250863062
H3random4096.gr,4096,12288,1.905,0.111,2.2520000000000002,0.132,1.1821522309711288
H3random8192.gr,8192,24576,3.692,0.083,4.305,0.214,1.1660346695557962
H3random16384.gr,16384,49152,7.134,0.171,8.284,0.406,1.1611998878609475
H3random32768.gr,32768,98304,16.538,0.351,17.733,1.1300000000000001,1.0722578304510824
H3random65536.gr,65536,196608,36.104,0.550,38.142,1.684,1.056448038998449
H3random131072.gr,131072,393216,82.402,0.776,91.08200000000001,2.148,1.1053372490958957
H3random262144.gr,262144,786432,211.703,0.751,244.196,2.115,1.1534838901668847
H3random524288.gr,524288,1572864,577.675,0.843,673.458,5.513,1.1658077638810749
H3random1048576.gr,1048576,3145728,1320.669,1.261,1572.659,8.069,1.1908048118037147
H3random2097152.gr,2097152,6291456,3012.154,3.641,3588.873,19.718,1.1914639822532314
H3random4194304.gr,4194304,12582912,7707.439,15.096,9064.831,61.272,1.1761145303907043
H3random8388608.gr,8388608,25165824,14915.013,4.080,17517.535,136.685,1.1744900926335096
H3random16777216.gr,16777216,50331648,32914.541,20.049,38198.07,301.511,1.1605226395227568
H3random33554432.gr,33554432,100663296,82712.277,234.263,96659.926,325.355,1.168628521736864
