Graph File,Número de Vértices,Número de Arestas,Tempo BMSSP (ms),Desvio BMSSP (ms),Tempo BMSSP-Expected (ms),Desvio BMSSP-Expected (ms),Ratio BMSSP-Expected / BMSSP
USA-road-t.NY.gr,264346,733846,119.204,0.714,132.189,1.3820000000000001,1.1089309083587797
USA-road-t.BAY.gr,321270,800172,139.939,0.475,153.031,0.607,1.0935550489856296
USA-road-t.COL.gr,435666,1057066,212.648,2.056,230.132,1.977,1.0822203829803243
USA-road-t.FLA.gr,1070376,2712798,454.769,0.896,510.886,1.705,1.1233967134963025
USA-road-t.NW.gr,1207945,2840208,529.171,1.387,544.993,1.9000000000000001,1.029899597672586
USA-road-t.NE.gr,1524453,3897636,700.542,2.692,754.7,4.105,1.0773087123969727
USA-road-t.CAL.gr,1890815,4657742,837.492,3.379,860.054,5.956,1.0269399588294574
USA-road-t.LKS.gr,2758119,6885658,1390.777,3.088,1421.803,4.308,1.0223083930781138
USA-road-t.E.gr,3598623,8778114,2063.483,4.284,2048.268,15.613,0.9926265445365917
USA-road-t.W.gr,6262104,15248146,4032.778,4.853,3832.6150000000002,27.774,0.9503659760095894
USA-road-t.CTR.gr,14081816,34292496,13077.753,22.386,11738.67,74.824,0.8976060336970731
USA-road-t.USA.gr,23947347,58333344,19576.321,7.794,18315.89,82.08800000000001,0.9356145110207378
