Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Tempo BMSPP (ms),Ratio BMSPP / Dijkstra
random128D3.gr,129,384,0.007,0.275,39.286
random256D3.gr,257,768,0.015,0.284,18.933
random512D3.gr,513,1536,0.042,0.527,12.548
random1024D3.gr,1025,3072,0.098,1.183,12.071
random2048D3.gr,2049,6144,0.210,2.359,11.233
random4096D3.gr,4097,12288,0.506,4.720,9.328
random8192D3.gr,8193,24576,1.104,9.394,8.509
random16384D3.gr,16385,49152,2.935,21.023,7.163
random32768D3.gr,32769,98304,5.273,39.169,7.428
random65536D3.gr,65537,196608,12.525,81.969,6.544
random131072D3.gr,131073,393216,36.557,200.963,5.497
random262144D3.gr,262145,786432,85.699,529.068,6.174
random524288D3.gr,524289,1572864,200.234,1261.886,6.302
random1048576D3.gr,1048577,3145728,445.013,2987.941,6.714
random2097152D3.gr,2097153,6291456,962.239,7283.092,7.569
random4194304D3.gr,4194305,12582912,2096.764,15643.449,7.461
random8388608D3.gr,8388609,25165824,4656.707,32791.000,7.042
random16777216D3.gr,16777217,50331648,10334.293,75792.926,7.334
random33554432D3.gr,33554433,100663296,22927.354,161972.931,7.065
