Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Tempo BMSPP (ms),Ratio BMSPP / Dijkstra
USA-road-t.NY.gr,264347,733846,36.266,282.458,7.789
USA-road-t.BAY.gr,321271,800172,43.090,328.093,7.614
USA-road-t.COL.gr,435667,1057066,59.426,452.907,7.621
USA-road-t.FLA.gr,1070377,2712798,138.550,1017.360,7.343
USA-road-t.NW.gr,1207946,2840208,168.606,1142.465,6.776
USA-road-t.NE.gr,1524454,3897636,245.362,1508.213,6.147
USA-road-t.CAL.gr,1890816,4657742,277.370,1818.321,6.556
USA-road-t.LKS.gr,2758120,6885658,402.030,2790.439,6.941
USA-road-t.E.gr,3598624,8778114,584.946,3935.859,6.729
USA-road-t.W.gr,6262105,15248146,1087.843,7253.043,6.667
USA-road-t.CTR.gr,14081817,34292496,3530.351,18610.768,5.272
USA-road-t.USA.gr,23947348,58333344,4903.629,30663.852,6.253
