Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
random8X32RGridED.gr,256,1812,0.008,0.003,0.156,0.017,19.500
random16X16SGridED.gr,256,1860,0.011,0.003,0.171,0.010,15.545
random16X64RGridED.gr,1024,7716,0.041,0.005,0.566,0.057,13.805
random32X32SGridED.gr,1024,7812,0.062,0.014,0.597,0.010,9.629
random32X128RGridED.gr,4096,31812,0.188,0.008,1.936,0.032,10.298
random64X64SGridED.gr,4096,32004,0.229,0.009,2.044,0.054,8.926
random64X256RGridED.gr,16384,129156,0.974,0.040,7.599,0.218,7.802
random128X128SGridED.gr,16384,129540,1.106,0.038,7.820,0.103,7.071
random256X256SGridED.gr,65536,521220,5.716,0.274,34.051,0.433,5.957
random128X512RGridED.gr,65536,520452,5.192,0.303,30.090,0.450,5.795
random256X1024RGridED.gr,262144,2089476,25.949,0.450,140.170,0.712,5.402
random512X512SGridED.gr,262144,2091012,28.915,0.418,143.240,0.463,4.954
random512X2048RGridED.gr,1048576,8373252,118.815,2.519,687.064,0.898,5.783
random1024X1024SGridED.gr,1048576,8376324,130.519,1.919,695.658,0.807,5.330
random1024X4096RGridED.gr,4194304,33523716,568.527,1.921,3952.861,6.157,6.953
random2048X2048SGridED.gr,4194304,33529860,600.892,1.737,4019.613,1.058,6.689
random2048X8192RGridED.gr,16777216,134156292,2735.445,57.591,16102.537,3.923,5.887
random4096X4096SGridED.gr,16777216,134168580,2752.005,7.649,16074.777,5.753,5.841
