Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
random8X32RGridR.gr,256,1812,0.006,0.002,0.167,0.011,27.833
random16X16SGridR.gr,256,1860,0.027,0.004,0.175,0.040,6.481
random16X64RGridR.gr,1024,7716,0.038,0.005,0.661,0.027,17.395
random32X32SGridR.gr,1024,7812,0.132,0.008,0.557,0.027,4.220
random32X128RGridR.gr,4096,31812,0.179,0.009,2.750,0.054,15.363
random64X64SGridR.gr,4096,32004,0.611,0.100,2.154,0.027,3.525
random64X256RGridR.gr,16384,129156,0.846,0.024,4.403,0.060,5.204
random128X128SGridR.gr,16384,129540,2.564,0.050,8.704,0.122,3.395
random256X256SGridR.gr,65536,521220,12.016,0.195,35.362,0.484,2.943
random128X512RGridR.gr,65536,520452,4.401,0.202,20.400,0.259,4.635
random256X1024RGridR.gr,262144,2089476,21.566,0.365,91.943,0.303,4.263
random512X512SGridR.gr,262144,2091012,58.823,0.393,172.667,2.889,2.935
random512X2048RGridR.gr,1048576,8373252,105.333,1.966,405.541,0.606,3.850
random1024X1024SGridR.gr,1048576,8376324,265.690,1.800,801.460,2.057,3.017
random1024X4096RGridR.gr,4194304,33523716,713.970,1.055,3128.100,3.239,4.381
random2048X2048SGridR.gr,4194304,33529860,1465.386,4.764,5249.212,20.311,3.582
random2048X8192RGridR.gr,16777216,134156292,3846.053,1.898,14253.338,22.633,3.706
random4096X4096SGridR.gr,16777216,134168580,7097.615,24.926,23100.643,20.561,3.255
