Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
H5random128.gr,128,640,0.008,0.003,0.175,0.017,21.875
H5random256.gr,256,1280,0.030,0.015,0.173,0.010,5.767
H5random512.gr,512,2560,0.052,0.004,0.258,0.007,4.962
H5random1024.gr,1024,5120,0.119,0.003,0.610,0.015,5.126
H5random2048.gr,2048,10240,0.254,0.011,1.196,0.045,4.709
H5random4096.gr,4096,20480,0.560,0.018,2.397,0.071,4.280
H5random8192.gr,8192,40960,1.300,0.030,4.778,0.135,3.675
H5random16384.gr,16384,81920,2.850,0.074,9.047,0.253,3.174
H5random32768.gr,32768,163840,6.573,0.056,26.073,0.367,3.967
H5random65536.gr,65536,327680,16.436,0.275,49.841,0.830,3.032
H5random131072.gr,131072,655360,38.331,0.186,111.315,0.905,2.904
H5random262144.gr,262144,1310720,95.607,1.305,268.839,1.249,2.812
H5random524288.gr,524288,2621440,223.109,3.251,703.729,7.606,3.154
H5random1048576.gr,1048576,5242880,520.378,2.157,1572.931,3.800,3.023
H5random2097152.gr,2097152,10485760,1158.870,3.786,3595.504,3.236,3.103
H5random4194304.gr,4194304,20971520,2572.238,9.246,9268.017,7.149,3.603
H5random8388608.gr,8388608,41943040,5668.422,27.994,17424.393,40.325,3.074
H5random16777216.gr,16777216,83886080,12474.020,19.657,37623.857,24.784,3.016
H5random33554432.gr,33554432,167772160,27167.719,38.361,96098.959,178.856,3.537
