n,m,Graph File,Mem BMSPP (MB),Mem Dijkstra (MB),Ratio BMSPP / Dijkstra
8,24,random8D3.gr,2.59,2.59,1.00
16,48,random16D3.gr,2.59,2.59,1.00
32,96,random32D3.gr,2.60,2.60,1.00
64,192,random64D3.gr,2.59,2.59,1.00
128,384,random128D3.gr,2.59,2.59,1.00
256,768,random256D3.gr,3.74,2.59,1.45
512,1536,random512D3.gr,3.95,2.59,1.53
1024,3072,random1024D3.gr,4.27,3.53,1.21
2048,6144,random2048D3.gr,4.76,3.85,1.24
4096,12288,random4096D3.gr,6.20,4.03,1.54
8192,24576,random8192D3.gr,8.59,4.85,1.77
16384,49152,random16384D3.gr,12.75,6.66,1.91
32768,98304,random32768D3.gr,23.12,9.77,2.37
65536,196608,random65536D3.gr,41.02,16.42,2.50
131072,393216,random131072D3.gr,77.18,29.43,2.62
262144,786432,random262144D3.gr,150.50,55.97,2.69
524288,1572864,random524288D3.gr,297.70,108.79,2.74
1048576,3145728,random1048576D3.gr,591.91,214.29,2.76
2097152,6291456,random2097152D3.gr,1180.50,421.11,2.80
4194304,12582912,random4194304D3.gr,2725.28,838.79,3.25
8388608,25165824,random8388608D3.gr,4710.81,1674.36,2.81
16777216,50331648,random16777216D3.gr,9418.04,3345.81,2.81
33554432,100663296,random33554432D3.gr,21776.74,6688.16,3.26
67108864,201326592,random67108864D3.gr,N/A,13373.16,N/A
134217728,402653184,random134217728D3.gr,N/A,26742.52,N/A
268435456,805306368,random268435456D3.gr,N/A,18435.23,N/A
