Graph File,Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Desvio Dijkstra (ms),Tempo BMSPP (ms),Desvio BMSPP (ms),Ratio BMSPP / Dijkstra
USA-road-t.NY.gr,264346,733846,32.406,0.331,119.361,0.335,3.683
USA-road-t.BAY.gr,321270,800172,38.361,0.349,140.055,0.611,3.651
USA-road-t.COL.gr,435666,1057066,52.109,0.635,216.572,1.883,4.156
USA-road-t.FLA.gr,1070376,2712798,128.106,1.123,455.958,1.352,3.559
USA-road-t.NW.gr,1207945,2840208,154.594,1.877,521.545,1.424,3.374
USA-road-t.NE.gr,1524453,3897636,228.359,1.810,707.389,3.497,3.098
USA-road-t.CAL.gr,1890815,4657742,261.384,2.089,847.049,2.857,3.241
USA-road-t.LKS.gr,2758119,6885658,381.540,3.900,1402.351,3.995,3.676
USA-road-t.E.gr,3598623,8778114,556.746,6.379,2074.609,4.951,3.726
USA-road-t.W.gr,6262104,15248146,1022.692,2.328,3989.016,9.203,3.901
USA-road-t.CTR.gr,14081816,34292496,3299.535,9.289,13188.157,28.296,3.997
USA-road-t.USA.gr,23947347,58333344,4577.503,8.831,19325.188,19.417,4.222
