Número de Vértices,Número de Arestas,Tempo Dijkstra (ms),Tempo BMSPP (ms),Ratio BMSPP / Dijkstra
128,384,0.007,0.157,22.429
256,768,0.015,0.267,17.800
512,1536,0.042,0.474,11.286
1024,3072,0.092,0.978,10.630
2048,6144,0.217,1.912,8.811
4096,12288,0.437,4.299,9.838
8192,24576,1.039,8.765,8.436
16384,49152,2.257,17.966,7.960
32768,98304,4.919,36.635,7.448
65536,196608,11.587,73.375,6.333
131072,393216,30.924,186.499,6.031
262144,786432,76.459,484.240,6.333
524288,1572864,182.096,1218.002,6.689
1048576,3145728,429.398,3144.928,7.324
2097152,6291456,957.517,7091.700,7.406
4194304,12582912,2040.093,14929.556,7.318
8388608,25165824,4526.345,34308.291,7.580
16777216,50331648,10113.698,73649.296,7.282
33554432,100663296,22357.058,,
