Graph,Número de Vértices,Tempo Dijkstra (ms),Tempo BMSPP (ms),Ratio BMSPP / Dijkstra
USA-road-t.NY.gr,264346,33.438,278.585,8.331
USA-road-t.BAY.gr,321270,40.449,326.210,8.065
USA-road-t.COL.gr,435666,55.360,444.119,8.022
USA-road-t.FLA.gr,1070376,132.261,998.083,7.546
USA-road-t.NW.gr,1207945,156.743,1175.208,7.498
USA-road-t.NE.gr,1524453,230.631,1521.376,6.597
USA-road-t.CAL.gr,1890815,265.548,1784.438,6.720
USA-road-t.LKS.gr,2758119,386.893,2755.558,7.122
USA-road-t.E.gr,3598623,545.761,3838.717,7.034
USA-road-t.W.gr,6262104,1046.168,7048.288,6.737
USA-road-t.CTR.gr,14081816,3334.490,18604.473,5.579
USA-road-t.USA.gr,23947347,4594.710,30162.818,6.565
